dataset,H,W,model,latent_dim,params,epochs,val_mse,val_psnr,val_ssim,infer_ms_per_img
mnist,28,28,cnn,64,319489,10,5.4944160970052085,22.268294940487266,0.9230657919955366,0.4401239594699291
mnist,28,28,kan_linear,64,602112,10,4.453754104614258,23.21830513796751,0.8673784131818941,0.26954609370477556
mnist,28,28,kan_bezier,64,602112,10,11.13994477335612,19.10216145537617,0.7618434061200101,0.8590757812726224
mnist,28,28,kan_catmull,64,602112,10,4.947425024668376,22.713654830010146,0.8490198260997216,1.1880438844400487
mnist,28,28,kan_bspline,64,602112,10,9.926752347310384,19.593369371999888,0.7658599859703739,1.0802515625073283
mnist,28,28,fastkan,64,905728,10,3.1769634297688802,24.70555079719497,0.930268499961714,0.01791692188817251
cifar16,16,16,cnn,64,163585,10,3.201084846878052,19.791737203568495,0.5802745514698799,0.13439127496894798
cifar16,16,16,kan_linear,64,196608,10,0.9039893808364868,25.244228245979883,0.906110195193315,0.11368801874596102
cifar16,16,16,kan_bezier,64,196608,10,2.0234075204849242,21.7392990619403,0.7693141471365137,0.2969411406866129
cifar16,16,16,kan_catmull,64,196608,10,1.304629406929016,23.615932231265802,0.866496160669451,0.3133726531814318
cifar16,16,16,kan_bspline,64,196608,10,1.9170837339401245,21.964084046199932,0.7812978334816663,0.32738945305936795
cifar16,16,16,fastkan,64,295888,10,1.0075946694374085,24.55917791437131,0.896268675874756,0.005833071872984874
large,64,64,cnn,64,984385,10,81.0307339630127,17.597653230198727,0.31428962311334296,3.4349557501627714
large,64,64,kan_linear,64,3145728,10,93.61718583679199,16.960799423833926,0.2663277221715295,1.3838187620422104
large,64,64,kan_bezier,64,3145728,10,85.31606944274903,17.34528765224733,0.2759134025977499,4.384854687668849
large,64,64,kan_catmull,64,3145728,10,91.72476458740235,17.057040780824455,0.2702885881210763,5.116456749965437
large,64,64,kan_bspline,64,3145728,10,104.72420198059082,16.486332673132566,0.24598679246747712,5.81590049987426
large,64,64,fastkan,64,4731088,10,68.88536764526367,18.16336302830714,0.3550473658796601,0.12355156231933506
shapes,64,64,cnn,64,984385,10,488.635,11.49941076658172,0.7814906852299057,2.5750790346137364
shapes,64,64,kan_linear,64,3145728,10,273.22084716796877,12.684939321708917,0.0309268797845825,1.5182513124727848
shapes,64,64,kan_bezier,64,3145728,10,318.5863562011719,12.082531407292105,0.026406720746260808,5.657645956353008
shapes,64,64,kan_catmull,64,3145728,10,319.4394812011719,12.12450685630985,0.023742269306637132,6.081681390924132
shapes,64,64,kan_bspline,64,3145728,10,326.63074462890626,11.97008872294343,0.027429885820510397,5.813079562631174
shapes,64,64,fastkan,64,4731088,10,167.21264770507813,14.649734259620985,0.061738864897161065,0.08466692479487392
