Nazwa zbioru,Rozdzielczość,Model,l. parametrów,MSE,PSNR,SSIM,Czas (ms)
mnist,28x28,Cnn,319489,5.4944160970052085,22.268294940487266,0.9230657919955366,0.42490299692872213
mnist,28x28,Kan linear,602112,4.204131300608317,23.494299317682238,0.8755205217102269,0.27003658751709736
mnist,28x28,Kan bezier,602112,12.813847946166993,18.477987667903587,0.7301568861026765,0.8353028626515879
mnist,28x28,Kan catmull,602112,5.031541313171386,22.638701361213318,0.8479124439628616,0.9464854187172023
mnist,28x28,Kan bspline,602112,9.125609247843425,19.994991095222293,0.7838233702208833,1.057411849978962
mnist,28x28,fastkan,905728,3.2174526691436767,24.680488943728758,0.9293487142807999,0.016796221734693972
cifar16,16x16,Cnn,163585,3.232823139190674,19.74057568233982,0.5827693997918113,0.12029231866108603
cifar16,16x16,Kan linear,196608,0.9100642681121827,25.20126909390944,0.9048697870239332,0.10721419366745977
cifar16,16x16,Kan bezier,196608,2.0036278032302857,21.78341317739353,0.7732641802211161,0.3125588500552112
cifar16,16x16,Kan catmull,196608,1.3112606016159059,23.59597900192338,0.8673648175504263,0.3097101562161697
cifar16,16x16,Kan bspline,196608,1.9334460954666137,21.930515765002355,0.7795658631854501,0.32185442505578976
cifar16,16x16,fastkan,295888,1.0130454853057862,24.542398101032873,0.8944654351523036,0.00612982184975408
large,64x64,Cnn,984385,107.71771826171874,16.343885855058453,0.2568326209785342,2.650870706202113
large,64x64,Kan linear,3145728,106.00549755859375,16.4591861358973,0.23826180941230926,1.4111833345850755
large,64x64,Kan bezier,3145728,110.0561474609375,16.282625485179935,0.23011400038118154,5.943030209346034
large,64x64,Kan catmull,3145728,111.7964365234375,16.22622331507131,0.23254341743267004,5.479117575032433
large,64x64,Kan bspline,3145728,113.97587548828125,16.139974099575667,0.2288202628679393,5.307431900018855
large,64x64,fastkan,4731088,91.64016064453125,16.962206513196037,0.24929864240349206,0.07089439686751575
shapes,32x32,Cnn,381889,103.82648254394532,11.025396324842859,0.07757925833952733,0.662598168310069
shapes,32x32,Kan linear,786432,43.57938262939453,14.075870036967782,0.15955170052627274,0.4038915372802876
shapes,32x32,Kan bezier,786432,74.24938873291016,12.005624819798074,0.09342772552265734,1.2802892998479365
shapes,32x32,Kan catmull,786432,50.02743286132812,13.576517074788686,0.13807919854996376,1.2942864811520849
shapes,32x32,Kan bspline,786432,70.27031921386718,12.134927912642322,0.09850741178460697,1.4133795561974694
shapes,32x32,fastkan,1182928,28.64654815673828,15.804711791288524,0.48136857509085623,0.021060028484498616
